100 5000
94 80 -45
93 -7 -41
-12 -39 -8
96 -14 98
-38 25 -33
49 74 -71
-78 26 -79
-82 3 74
-45 63 71
67 3 -96
-90 -91 68
-66 -33 73
24 34 29
-86 -91 92
-1 29 -32
-91 -94 100
-57 92 -19
16 74 -75
32 60 9
76 -3 -32
91 -99 -68
-60 16 81
92 49 98
14 -78 8
-17 93 -81
24 -8 46
91 90 -38
8 18 10
-40 -42 51
-87 49 -58
-49 39 86
31 61 -43
-20 76 34
-87 96 -100
72 34 47
26 86 -78
95 42 -89
71 57 -22
-86 75 95
88 -7 11
9 80 -89
-57 15 37
-50 -51 88
-26 81 -60
69 -47 15
-7 -63 54
9 85 -22
18 -39 -60
-63 -44 18
-56 -79 87
10 52 1
-92 27 -28
1 -95 31
42 72 -51
85 98 10
-29 -13 -40
-1 15 61
-71 74 -48
-100 -17 39
-33 51 20
-77 70 -64
-11 -78 5
-70 -31 95
52 -32 85
-90 99 69
66 -56 86
-61 -4 32
-63 35 5
85 -9 59
47 49 -54
17 2 -38
-56 88 85
-32 31 82
3 -88 -51
20 -90 -83
-89 -18 99
21 -82 -11
-40 24 -65
-45 -80 5
43 -83 73
-22 -98 64
54 76 -89
-59 48 -28
-22 -23 -27
-10 -95 -19
59 90 46
-58 10 15
83 -65 -22
10 -2 4
91 2 19
13 33 -83
97 43 94
-26 64 83
-73 25 78
32 -29 6
-29 62 -54
-86 -57 59
85 -20 32
-8 88 12
90 2 44
-72 -31 48
-38 -50 -60
87 20 48
34 30 -19
50 59 -55
-68 -15 -14
-28 19 -47
-39 -72 37
52 -71 56
-88 -33 -67
3 -59 -82
77 97 44
-17 82 17
44 -80 37
-26 81 -15
1 -65 -91
-18 -85 -65
-17 79 23
76 98 -63
-76 61 -31
40 52 96
35 28 16
23 27 79
85 79 19
89 -60 -27
57 93 -86
97 -64 -30
67 2 71
-26 -90 -80
69 69 -56
-94 68 -70
95 33 -55
3 -84 -52
-10 62 -22
-23 -72 -5
46 49 69
-21 -44 79
-23 58 25
81 96 97
-62 -96 -4
-94 -84 88
-86 -5 77
-44 -10 -41
-1 -74 18
1 -86 60
-45 94 -78
42 39 -53
73 -59 60
8 -90 -63
85 92 -50
25 55 70
-66 31 89
-16 -36 -89
-20 1 82
57 73 44
83 -88 -33
-100 -49 -78
89 -15 94
-25 -25 -53
-39 -97 44
-47 70 -87
10 76 22
20 -29 52
96 -83 -41
-23 -45 92
24 -61 34
82 -94 -95
77 40 -70
-54 89 42
-80 -68 18
62 21 -43
-85 88 61
-18 13 92
64 53 -11
74 -51 -45
34 90 -57
12 -20 6
-17 65 81
-78 -34 -75
92 -50 -64
-85 -28 -65
87 -17 -33
59 -55 73
66 83 63
8 -59 16
-55 66 27
51 47 10
-71 -69 -45
-23 -8 -58
69 85 20
69 -1 -78
26 -9 17
-70 14 -6
-9 87 40
-42 -3 76
59 -44 -40
-67 -8 -74
-17 -96 -96
-63 -68 39
40 -35 94
-69 69 -97
-85 68 76
65 -26 5
3 19 -13
4 55 13
37 87 -17
-77 -16 74
25 -54 17
-54 -16 -1
39 -83 37
37 60 76
-58 23 98
79 -54 -81
44 41 -16
53 70 -57
-55 85 75
-85 -55 -73
-36 32 -43
41 -67 55
-13 34 -85
-38 48 21
-69 -72 -82
75 83 90
82 -73 -34
26 44 -98
41 21 19
-52 96 71
11 57 -35
-72 52 39
49 57 45
43 -50 90
100 22 -12
84 35 -39
20 84 87
30 56 90
-62 -65 -61
-9 85 -68
-43 31 87
7 61 -2
-26 68 -72
20 31 36
-84 7 59
-98 41 -26
99 37 72
3 16 -60
25 30 -40
42 87 -82
-31 75 -52
-4 -34 -16
65 97 -8
-18 -49 88
42 60 -80
84 51 -18
2 90 88
-90 -16 34
-62 80 73
40 -68 66
14 88 -56
80 -67 63
77 -57 -71
-58 -43 13
-4 59 -33
-53 6 99
-88 -3 91
25 53 -44
-65 59 -87
44 -65 -69
-62 -38 77
18 72 49
90 -45 -12
-1 91 96
68 94 -31
-25 100 51
-85 29 -1
86 -96 97
15 12 75
21 44 -52
56 -61 -36
6 41 -67
-81 24 67
-82 12 -15
100 -84 36
77 88 14
40 -44 -97
-14 95 -24
2 8 21
-7 89 -77
22 -68 99
70 90 -36
-62 73 85
13 -81 33
24 54 -17
62 -2 -18
-56 31 49
98 28 -68
67 71 -23
1 -31 73
70 91 67
-92 51 -79
-11 22 -72
-37 -32 46
86 89 73
44 55 10
-29 85 -61
-52 -58 22
-52 96 -30
-26 80 -19
-31 -33 -50
-3 43 -42
-19 -17 -40
-77 -58 -98
90 49 100
-86 52 -11
52 99 -70
-69 -38 33
-3 27 -8
-61 7 -4
28 -58 -47
59 -8 99
61 -16 -54
-14 44 -46
-63 -67 56
15 6 6
35 -43 -25
37 50 -82
-50 25 48
50 13 68
69 -87 10
25 -31 49
32 -33 -54
21 35 -90
-42 -96 25
-31 -1 -10
-86 -49 97
-14 21 -92
-70 2 -73
39 -30 41
-75 62 85
31 -50 -97
72 -42 44
97 16 -58
80 -49 -99
78 48 -13
15 77 -78
76 73 -7
22 13 59
46 6 1
-48 94 -53
-51 -92 -58
35 99 -92
-61 -61 62
-67 50 -52
28 1 64
48 -69 10
-47 17 82
38 97 -56
95 99 23
-33 30 40
-94 -15 42
-64 -73 100
14 9 -75
5 90 4
-18 14 33
-27 27 89
-6 100 37
-11 -89 78
11 98 53
-78 62 -92
-45 50 76
-72 28 -17
-24 99 -93
56 -44 -50
39 82 84
-55 -86 -66
-68 60 15
-58 8 100
-85 20 -1
-40 -65 -18
21 59 -17
-71 -9 62
27 11 31
78 -6 -84
70 35 -57
-99 59 13
-11 -38 6
64 49 -23
-50 -39 96
85 -44 98
70 89 -73
84 29 -8
80 97 38
-96 37 -85
69 -56 -63
58 44 52
6 27 -15
39 -53 -100
53 -63 -44
-3 -26 -14
54 56 20
86 18 85
-20 -47 -29
-92 -69 -17
86 -33 -86
86 76 -42
-3 19 82
35 -96 83
-6 -47 47
-47 -58 -88
57 -26 45
-7 -26 19
78 -65 85
3 -36 42
-36 68 70
5 37 14
-3 -78 -39
45 81 -82
87 9 -63
-37 -41 88
-29 -45 -65
-63 85 -15
20 87 -9
-6 -88 -70
-11 -34 -27
51 99 2
-47 -60 32
-90 58 12
-1 -61 -39
1 1 30
-21 -68 3
62 64 23
-10 92 -50
2 -40 36
10 -75 -95
94 25 -58
-61 34 98
55 -10 64
86 4 43
68 2 -80
-81 -64 62
-37 -16 52
83 -69 93
66 13 99
84 48 -45
3 57 40
-99 -92 7
-75 -47 -50
-46 -94 30
-37 15 -17
-8 43 -70
24 89 -91
27 74 81
-77 -28 -100
64 10 -60
-79 48 10
31 85 -10
-86 -100 -100
-69 -96 -49
-22 -9 -30
-76 78 -53
78 -89 -65
-79 -48 30
-62 98 -23
89 -81 83
-2 24 -97
-82 -50 85
72 -76 7
23 91 64
6 82 -67
-80 -20 68
-100 -59 47
-11 -29 -86
10 38 -74
-92 88 21
9 100 61
37 42 6
14 -26 21
23 55 92
-28 95 -89
-76 -36 27
64 -48 -7
10 -37 -94
12 65 -20
-31 -36 -73
-78 3 -40
-10 -28 -91
40 -59 -96
-68 -54 54
-11 7 52
-52 16 2
-4 -80 -77
-3 88 -63
-9 5 5
84 -86 71
-90 21 39
-34 65 -8
-22 74 -19
-68 37 -84
-11 -27 68
-99 -67 88
-81 -12 52
95 78 42
9 -56 10
-36 66 71
-6 7 7
90 82 -48
-81 9 -96
89 -19 -25
39 -14 -27
83 -19 -92
-41 2 3
-39 -37 -84
-55 -32 -92
-10 21 48
-4 -100 17
50 -88 -90
73 47 -39
-14 48 -52
89 -90 -44
-35 -15 -90
-74 97 78
-65 -63 -7
-4 12 -89
-46 -45 -5
-53 67 64
11 30 10
86 27 88
-21 11 20
-10 2 74
-67 -25 -95
-36 1 -10
14 48 94
-91 68 -18
46 -34 28
-57 -63 -77
89 -82 35
-31 -58 -67
-22 -87 -86
-34 6 -16
-73 91 63
-43 10 -59
51 -7 30
-55 99 58
41 -51 61
86 42 -4
79 -77 -91
26 -58 2
-42 97 52
-72 -11 -38
34 95 1
6 -40 75
-17 -89 -57
22 -62 10
39 -94 42
-32 21 57
-46 4 -63
-60 68 46
-42 61 -23
-67 57 60
42 -63 -31
61 -59 -48
-91 41 -41
-31 -43 12
-94 -41 57
91 -62 -31
-4 -64 -4
-37 34 -64
-22 -11 85
12 20 23
-43 -9 72
-15 32 -13
35 82 -46
-47 -59 87
-15 -78 -71
-4 -42 83
-86 34 -84
46 -55 66
-27 -12 91
-59 12 80
-7 -76 97
89 81 -52
1 -79 -8
-40 2 -46
79 -1 89
-84 -77 57
49 45 51
62 80 24
-58 -13 67
-23 -40 -21
-20 -95 27
33 96 55
32 99 39
-11 97 -75
-19 99 -36
8 9 81
90 -71 -95
-26 -4 21
62 56 -95
68 -79 47
-7 -6 -70
43 67 43
-37 89 -68
-14 -24 60
-93 99 43
-69 65 46
-72 -34 76
39 -94 -52
49 18 -48
74 -28 30
54 54 -45
12 -62 -10
-42 -32 21
6 -13 19
-49 -93 -13
-95 -66 91
-68 5 13
95 -42 99
-46 -87 -45
-80 90 13
85 4 22
20 95 -45
-75 -44 32
29 -66 88
73 -23 -2
-29 -82 -35
31 5 52
-7 -6 42
-97 -71 -27
62 -94 18
48 3 -99
-20 45 19
-6 -94 30
65 -98 5
-65 -90 81
26 -27 6
-9 87 31
-22 85 31
-36 -24 -60
6 46 -2
29 -74 -86
26 32 42
15 50 72
-56 -58 72
98 6 -1
93 -87 28
-66 7 -64
-7 8 -67
93 6 -81
33 6 -97
37 -51 -80
-33 -27 92
-57 53 -38
46 -13 56
39 -44 -23
46 32 -17
-72 -67 -12
10 31 74
20 27 -29
72 2 41
74 92 84
-92 38 -17
-48 94 32
-45 93 -95
-22 -37 31
37 62 68
43 46 30
-41 70 -96
83 -24 -35
-28 76 -82
-4 79 40
9 2 -59
79 -38 -10
24 -39 -63
30 4 -46
74 74 -63
-99 -34 -94
95 37 -30
71 -79 -17
-38 3 90
93 77 67
-51 2 -58
-28 84 51
-85 72 -22
8 18 -23
15 -54 -52
-5 91 -39
17 -86 27
64 54 -7
94 -92 30
-59 -92 -23
-14 -1 28
53 -56 43
52 -93 -26
-17 65 -28
25 -81 -76
-66 -93 -73
3 10 44
84 82 -61
77 7 72
-39 -62 -87
-82 -28 78
-72 32 -36
27 -82 -68
84 -44 12
-100 -4 51
-95 -87 2
96 18 25
18 -37 24
-5 -83 -55
11 -16 89
95 5 98
-52 87 -3
-51 -36 9
-9 -69 -23
-67 -3 -21
86 35 92
40 29 -3
-53 92 51
4 -84 -36
-97 81 20
58 48 10
68 98 78
-1 -59 -19
-6 60 -15
4 60 -13
98 68 -66
84 75 -100
-59 -65 -55
-28 24 -76
-78 -88 54
27 -80 -70
83 -78 -9
44 56 92
-36 -6 91
-64 24 3
78 -91 30
-23 59 -47
62 50 77
-22 93 -67
-85 15 35
-77 52 80
-17 5 -65
-30 -11 -26
16 -78 39
47 31 24
-14 64 -2
-46 88 -79
-14 36 38
94 15 58
-50 -84 -86
69 -79 51
-79 -84 -54
-9 -23 -9
-90 -68 -77
89 -15 51
100 -54 -71
-78 -68 99
-63 54 7
84 -36 7
79 40 -9
55 32 1
67 -55 28
-35 -66 -27
68 -89 29
98 -86 -9
59 7 63
-2 -77 28
-66 31 -95
-77 33 67
77 97 4
46 29 23
-40 -59 -79
-97 -31 2
-56 -50 -90
7 34 11
-54 -19 10
-37 32 7
60 -48 -20
37 45 97
-77 52 -92
46 51 -87
-11 10 -45
-24 53 97
2 89 -51
-67 -66 -64
57 29 -16
52 36 6
35 -61 48
71 82 -41
-56 57 46
-98 71 88
15 67 23
-74 20 -4
62 26 46
57 -33 -20
83 -86 36
-61 62 -60
-63 59 -19
-18 -78 2
-86 -27 -51
45 -15 85
-92 100 1
-1 63 -57
58 32 88
-5 -50 57
83 -42 77
93 41 10
86 -18 12
91 39 52
74 -81 40
46 -64 -5
24 70 -30
85 91 -14
-54 -45 99
-56 -84 -94
41 16 32
3 58 74
17 60 55
-40 70 64
42 -21 -4
-91 95 70
11 -70 7
-35 64 99
93 16 17
24 43 -46
-8 -12 25
-63 14 40
79 -25 93
-20 -28 98
43 -66 36
-89 20 82
49 21 30
-4 -23 99
-85 36 -38
-37 76 -37
-63 97 -82
44 69 -77
-36 -93 -67
91 69 -20
-29 -63 6
-8 88 -67
50 41 16
79 -75 -34
-36 46 -5
61 38 -67
-65 62 -65
13 92 -46
26 -50 -80
-94 44 53
-5 33 6
-25 68 -67
92 50 61
88 90 70
51 -27 -8
77 -88 -23
48 62 17
-9 30 31
-3 -98 -17
-76 27 -66
89 94 -23
12 -33 -46
-16 -62 -59
-39 65 6
-76 70 28
93 41 21
2 -10 76
-80 -4 -91
21 -37 39
87 91 9
75 63 -75
-13 82 -22
-47 -55 -46
-28 55 30
-95 68 29
91 40 73
27 -51 -14
82 -86 70
46 -43 -51
100 50 32
-31 -40 32
53 -16 66
72 -62 9
-41 17 34
-44 -3 38
-71 78 -9
-26 9 21
31 -56 9
-38 -8 30
-14 56 -22
46 -89 20
-40 81 58
-84 -1 -39
-23 -15 -75
-56 -61 51
95 -54 -85
61 -78 -32
87 -43 90
-88 36 10
-97 24 -36
57 -86 -48
80 86 54
-91 100 37
-67 90 -3
-2 92 57
32 97 72
-38 -82 50
79 -49 100
56 -45 45
6 15 99
71 28 74
-96 60 83
-32 -68 12
93 -41 -84
69 83 -11
-1 64 5
-49 32 -80
-35 89 -84
-55 58 81
-9 75 10
-67 2 67
54 3 58
-46 -28 51
61 71 -9
2 -2 -25
46 -68 -35
51 -43 -63
-30 -85 12
-74 -79 -78
24 -99 34
93 63 81
37 -65 -35
60 53 61
-1 -57 -22
53 -11 88
-88 81 47
-61 16 87
60 19 -74
-6 98 -33
-95 -15 -30
43 -1 -16
-16 93 -17
-39 48 55
83 -66 19
-61 76 69
35 11 -78
-82 99 63
15 -50 62
37 -35 -52
-98 -50 -71
-60 91 -5
-44 64 95
31 49 -8
-91 59 25
22 -1 98
2 -34 52
47 94 57
-35 31 -31
34 94 -4
-8 15 -48
14 97 -55
45 39 18
40 45 61
20 60 -22
-87 -6 -20
-50 58 -57
70 -50 11
99 13 -3
80 -82 80
-79 -90 -77
65 -4 -76
-6 -60 -31
88 -7 -24
36 -21 30
-60 -18 -54
46 -48 -70
48 6 39
-69 -67 -40
8 -55 -6
45 88 5
-10 62 -32
22 97 -12
-38 -8 -84
-85 1 -55
-8 4 60
95 42 46
1 24 18
-54 -28 -74
-38 59 -48
-55 -30 -88
55 -55 -62
-77 33 3
5 -95 63
48 11 -48
61 35 49
21 -27 -67
-1 -82 43
78 28 61
73 69 52
42 -96 -100
-91 97 -92
80 -59 91
93 -12 35
-54 -8 -16
-68 -23 83
88 -65 -5
50 -14 55
79 88 -53
-69 -2 -40
3 24 -82
-97 40 91
53 93 -18
8 96 -20
87 35 85
83 63 18
97 22 -4
33 71 -67
72 65 54
5 89 8
100 -63 -92
14 46 60
38 -53 25
63 -44 -87
-77 -5 87
-40 72 -91
15 -75 33
92 -29 -100
66 88 20
-3 45 -11
95 -65 -100
-39 -27 -81
-23 41 8
-53 27 -35
-74 -57 -59
-81 -94 44
-98 -47 81
2 -12 13
-50 -3 -6
-18 -22 29
2 -53 97
8 57 57
-15 47 -36
13 -67 25
95 -54 8
24 8 98
63 87 -38
-45 84 -1
62 48 56
24 45 2
-45 -53 -7
-13 22 5
-68 -49 23
-56 18 21
19 -71 -57
96 -28 2
-45 -36 -10
-45 -20 58
-17 -44 15
-37 76 11
-52 91 -52
-17 48 51
67 85 -51
-62 26 -13
-28 8 47
49 7 20
84 74 33
-39 -38 -81
-87 87 -10
1 -94 73
54 -6 42
57 -18 -42
36 -66 -98
-74 70 1
-1 4 5
-14 -10 -40
78 41 24
56 5 23
98 10 71
-16 80 -30
-93 -4 -25
30 3 21
8 13 -92
51 44 2
97 -40 95
-99 -57 25
47 100 20
93 -9 22
64 2 -66
86 -92 -8
83 -32 -16
32 5 -4
-47 59 78
-94 -46 14
52 -62 65
21 -47 -83
-42 18 91
-31 -1 -34
95 -14 -53
-60 -77 11
34 -1 -77
24 31 11
-88 52 69
-97 27 62
46 12 -32
-84 -45 92
-44 -8 14
-86 -79 -72
86 -49 -74
-8 91 -86
-16 -80 -27
10 -60 -47
-71 -15 82
79 25 -86
96 68 -96
-92 -27 64
-1 3 84
-59 -18 -58
74 -88 -24
-88 8 -94
-88 83 -90
-39 -2 -47
69 -34 100
-31 59 -55
95 58 -63
88 -72 77
62 93 86
-56 -56 -39
-1 30 87
48 -46 71
28 74 76
-31 52 -44
-1 -88 -30
49 53 97
60 27 -96
15 -10 -41
-28 19 -1
76 31 -83
37 83 81
74 -20 79
-15 60 5
50 87 56
99 -43 9
46 -61 81
-71 89 12
74 -56 -16
79 -45 -63
3 -79 53
99 -95 14
100 -5 -71
94 71 -14
-10 -32 -69
8 57 -99
12 -34 -29
71 58 25
-24 61 13
-47 94 55
36 -9 9
39 21 7
2 73 95
-44 -62 97
67 -84 45
-20 -47 -16
69 -90 -21
44 36 -36
97 65 -37
59 -47 67
-95 38 -85
39 78 46
94 5 2
98 -95 34
40 -87 38
60 -44 96
-97 1 18
-39 10 64
-28 8 -9
-22 -62 -31
46 -98 67
-81 -70 10
70 9 68
21 28 -45
-66 45 -77
29 4 35
39 -24 2
-85 -56 -33
82 -88 43
4 27 38
47 4 -16
67 91 -82
32 62 -7
92 -72 -67
91 -38 8
-30 -89 72
53 72 64
71 35 20
89 57 -83
-66 72 -55
4 89 56
91 35 -21
-4 -8 -56
-8 45 -13
30 23 31
41 -99 -10
-6 -45 -71
79 -80 24
-4 -20 71
-60 -78 -44
-4 -14 3
-79 -47 18
27 -25 50
52 73 -16
-14 7 -5
-45 77 -80
-54 82 -28
11 34 84
-77 60 -79
-73 -62 39
63 72 -94
91 -55 -1
8 14 -47
-5 12 39
-26 65 37
20 18 -90
72 -90 35
-22 -92 82
84 -87 12
-11 -78 -16
64 -93 75
89 -50 -59
69 -10 35
-75 32 -32
-85 -55 -99
57 89 -46
-28 48 69
88 93 -49
10 -95 -100
-30 -9 -59
-94 -94 -51
14 93 51
-19 54 -59
-55 -90 8
-34 49 75
72 -51 32
-97 82 -88
63 76 80
93 77 98
-82 -69 -87
42 81 65
9 84 37
-45 47 -25
72 -74 76
-57 -94 70
21 100 71
-92 -57 -94
89 -78 -9
47 33 14
-8 85 78
70 -53 34
9 -67 -79
-61 52 10
-69 -26 5
62 43 2
92 70 77
-55 89 -3
-5 35 12
18 -76 12
-87 -91 57
-69 13 -2
25 -56 -63
77 27 -80
19 -51 69
42 -65 -79
-36 53 70
-67 51 -78
-56 20 -96
-39 19 40
-99 -39 -53
-44 49 18
80 -45 3
86 56 48
-100 20 -96
-66 -76 59
-6 42 -97
-9 27 76
52 49 -49
43 68 37
-97 17 12
-88 27 -29
-17 63 -83
-88 -81 92
-15 60 -22
-16 -27 45
9 -71 48
14 -23 -91
-34 -100 -54
10 56 -95
28 64 -99
70 46 73
70 -71 -60
72 -84 41
10 -23 49
-69 19 -14
-93 -22 -24
-83 20 -91
15 -67 -70
95 -39 -66
3 42 -13
-73 -46 -25
40 -6 96
-99 26 48
-1 15 30
-75 -9 9
-78 -82 -61
66 -63 46
74 -95 99
86 -46 -16
-57 -14 10
-14 24 -37
-72 60 26
45 66 48
-32 -72 -65
46 90 -22
-91 -79 92
89 45 -81
16 14 -44
-15 48 -39
63 -29 -7
-71 43 19
62 31 58
-70 18 -55
38 -48 13
41 -59 -90
-36 -32 -13
-20 -66 62
83 -73 69
92 55 5
36 9 -79
-59 47 2
-50 -89 77
-23 98 -41
29 -48 -63
94 84 74
-16 -20 64
33 -48 -12
93 2 -39
11 -23 -58
37 15 -24
8 92 91
-38 -24 45
41 -3 -97
37 -13 -6
-76 64 33
-44 -61 -100
68 -83 -61
9 46 -88
7 -36 47
-2 -43 13
23 81 -67
-55 63 -21
-100 -3 5
47 25 -28
-37 18 36
-99 -71 40
19 88 -54
78 15 -56
-4 -5 -73
29 -44 29
1 -53 -76
-35 34 -87
21 19 -32
81 -45 68
-94 -23 -38
-80 -93 -16
-11 -30 -9
21 -36 -54
-60 -61 -14
93 52 -2
-12 -36 -39
57 -78 -34
-54 98 -56
77 -27 -16
64 29 -80
-25 45 72
48 32 -55
-73 -35 -8
54 -5 57
-42 -14 -24
75 48 -70
5 78 -75
62 78 24
-48 -61 24
15 -39 34
88 -67 98
13 38 20
52 -90 14
41 23 -64
-44 -20 20
-76 -28 -10
12 53 -27
49 -53 15
-84 -41 -19
-96 -40 -39
-37 18 32
75 42 56
35 59 -24
18 89 86
79 -70 -72
-58 39 75
92 -71 26
26 -94 -71
89 -2 58
70 -26 81
-83 36 -1
18 20 8
-86 -22 -99
68 -37 -61
-15 66 -50
-73 82 -100
-64 20 -48
66 9 41
95 -75 48
-55 98 -58
90 -53 43
-24 -17 32
-44 -37 48
25 -38 -39
78 48 -43
75 34 -92
-97 83 -91
-6 6 -40
-44 -47 -64
49 80 -4
-95 19 72
-25 37 38
-55 -38 22
69 47 51
-51 -31 -56
-78 58 90
83 48 31
-23 -17 26
-98 -39 41
29 -41 98
89 8 -64
22 68 -42
16 -71 -69
55 92 52
-71 52 -72
34 20 66
1 -21 81
-51 -49 -11
93 53 -59
-31 -21 -1
-41 -49 54
2 -19 -42
35 -44 -41
-68 79 -14
64 28 -63
-21 59 99
4 -10 2
2 -7 80
4 -35 9
-61 -21 25
48 66 99
69 29 -73
1 64 1
-19 -1 -39
-44 39 -94
13 -69 70
-9 46 -35
-97 -60 72
-22 -52 56
17 31 5
-45 58 -9
23 -47 97
43 -81 73
49 85 -70
26 89 91
25 10 5
-8 23 -30
-38 -53 -30
70 -67 68
-88 29 97
-86 39 -43
-94 1 -11
-42 -43 96
-50 9 65
-41 13 -1
-89 66 100
40 -83 53
-34 94 20
-58 95 -3
65 -54 28
-90 -95 47
-85 5 7
78 10 -58
-68 68 97
82 41 -76
-1 -6 -25
12 11 -41
-51 -4 83
-87 97 -69
-24 49 62
-77 -44 -17
-63 63 35
61 -74 59
74 50 12
-90 29 -11
62 19 39
11 -95 93
-94 -92 35
-60 -57 -90
-66 92 -36
31 -36 45
-72 -86 67
-86 -24 -7
32 57 -76
-29 -42 -53
74 43 75
-7 -41 -53
-100 -6 85
40 -82 -62
92 44 -50
59 13 -24
-41 -2 -69
-22 -19 -87
-36 -21 79
97 11 66
96 -95 67
34 82 96
-68 -85 -63
31 79 27
-97 -18 64
-49 51 37
-88 68 -89
-42 62 -58
2 2 59
-30 68 85
60 92 -12
80 95 -58
-55 8 96
-22 -63 -93
87 -47 20
25 22 -68
96 16 -21
52 41 69
32 -99 97
62 -26 -32
-65 62 27
25 53 6
96 -79 38
-95 -86 98
-54 28 -45
-89 -88 88
-30 -45 48
22 -54 77
-20 11 -36
5 65 44
37 -29 -36
-3 92 -32
21 13 42
78 -43 -65
-26 -12 -77
-55 11 -66
21 71 -20
31 57 -46
15 -50 -6
18 -25 87
46 76 27
-63 23 -100
27 47 -56
-45 88 42
65 52 -81
-70 10 -69
35 -96 -86
7 -61 71
20 -30 29
99 12 78
96 -95 32
-44 -23 -12
-84 18 89
68 3 72
5 66 68
55 -65 31
57 -25 10
13 -41 92
49 -66 3
-69 -17 -34
21 -55 -94
70 69 73
-69 96 84
91 8 85
-67 65 -2
-78 80 49
-25 -96 75
77 -27 -4
-63 73 -25
-34 2 -46
9 -67 -88
-66 26 -11
-55 -29 -30
-49 49 19
-34 -6 -43
24 23 66
84 81 52
49 -23 -15
-27 -72 79
-1 -50 27
-14 -40 -1
77 59 -16
85 -62 51
5 -25 20
20 -1 -44
-78 -74 -12
49 40 56
-78 37 -82
-26 48 -7
2 -15 -74
85 76 97
-6 -41 50
10 -86 -98
99 -1 87
18 25 -66
64 -86 11
44 62 75
86 31 100
-38 95 49
-2 13 11
-75 37 88
-82 -9 57
-17 26 -46
73 -58 -35
-49 -64 3
-12 -61 -47
-6 62 -45
-60 13 97
-31 39 74
-76 -27 -59
-91 2 17
20 63 90
49 -23 1
-9 -15 96
-40 12 -60
-94 -20 -16
18 -10 -77
-60 -46 72
90 29 32
6 78 97
-98 -96 40
48 98 50
-70 72 -59
-25 -65 -34
-53 -10 -90
-62 35 -93
-48 2 -49
37 -86 -15
68 -86 -73
-16 68 26
-40 -80 68
-82 -92 80
-60 27 60
-51 -66 -51
82 -75 -55
98 -6 76
21 -70 -43
-64 83 -26
-97 89 49
-93 64 56
-43 81 87
74 68 17
25 -26 32
27 -26 -51
-99 -75 9
62 58 -67
-80 76 -45
-83 -43 99
24 81 38
68 -4 62
96 -55 -60
91 60 -6
73 76 62
76 -98 -84
-41 -86 3
87 -70 -43
15 -33 25
-76 19 23
39 74 36
-98 68 63
-2 23 26
-84 63 -58
2 89 94
52 -16 71
63 -43 12
73 14 -95
-88 -57 -44
-10 -76 -1
76 34 80
-37 70 -33
85 67 61
98 -53 -18
-34 49 -36
92 -61 -10
4 46 -22
-76 -62 -71
-60 -67 -12
